iter	Passed	Remaining
455	349	3478
456	349	3475
457	350	3472
458	350	3470
459	351	3468
460	352	3466
461	352	3463
462	353	3461
463	353	3458
464	354	3456
465	354	3453
466	355	3452
467	356	3451
468	356	3448
469	357	3445
470	358	3442
471	358	3441
472	359	3438
473	359	3436
474	360	3433
475	360	3430
476	361	3429
477	362	3426
478	362	3423
479	363	3421
480	363	3418
481	364	3416
482	365	3413
483	365	3411
484	366	3409
485	366	3408
486	367	3406
487	368	3404
488	368	3403
489	369	3402
490	370	3400
491	370	3398
492	371	3397
493	372	3394
494	372	3392
495	373	3390
496	373	3387
497	374	3386
498	375	3384
499	375	3383
500	376	3382
501	377	3381
502	377	3379
503	378	3376
504	379	3374
505	379	3372
506	380	3369
507	380	3367
508	381	3365
509	382	3363
510	382	3360
511	383	3358
512	383	3356
513	384	3354
514	384	3351
515	385	3350
516	386	3348
517	387	3353
518	388	3350
519	388	3347
520	389	3345
521	389	3343
522	390	3342
523	391	3341
524	391	3338
525	392	3336
526	392	3334
527	393	3331
528	393	3329
529	394	3327
530	395	3325
531	395	3323
532	396	3322
533	397	3320
534	397	3317
535	398	3315
536	398	3313
537	399	3311
538	399	3309
539	400	3307
540	401	3310
541	402	3309
542	403	3307
543	403	3306
544	404	3304
545	404	3302
546	405	3302
547	406	3301
548	406	3299
549	407	3297
550	408	3294
551	408	3292
552	409	3290
553	409	3288
554	410	3287
555	411	3286
556	411	3284
557	412	3287
558	413	3285
559	414	3282
560	414	3281
561	415	3279
562	415	3277
563	416	3275
564	417	3274
565	417	3272
566	418	3270
567	418	3268
568	419	3267
569	420	3266
570	420	3265
571	421	3263
572	422	3262
573	422	3260
574	423	3259
575	424	3257
576	424	3256
577	425	3254
578	426	3252
579	426	3250
580	427	3248
581	427	3246
582	428	3244
583	428	3243
584	429	3242
585	430	3240
586	430	3239
587	431	3237
588	432	3235
589	432	3233
590	433	3232
591	433	3230
592	434	3229
593	435	3228
594	436	3227
595	436	3226
596	437	3225
597	437	3223
598	438	3221
599	439	3220
600	439	3218
601	440	3217
602	440	3215
603	441	3213
604	442	3211
605	442	3209
606	443	3208
607	444	3207
608	444	3206
609	445	3202
610	445	3201
611	446	3199
612	446	3196
613	447	3194
614	447	3192
615	448	3191
616	448	3189
617	449	3187
618	450	3185
619	450	3183
620	451	3181
621	451	3179
622	452	3177
623	452	3175
624	453	3177
625	454	3176
626	455	3173
627	455	3172
628	456	3170
629	456	3168
630	457	3167
631	458	3165
632	458	3164
633	459	3162
634	459	3160
635	460	3158
636	460	3156
637	461	3154
638	461	3152
639	462	3151
640	463	3150
641	464	3150
642	464	3148
643	465	3146
644	465	3144
645	466	3143
646	466	3141
647	467	3140
648	468	3138
649	468	3136
650	469	3134
651	469	3132
652	470	3130
653	470	3129
654	471	3127
655	471	3125
656	472	3123
657	473	3122
658	473	3120
659	474	3119
660	474	3117
661	475	3115
662	475	3113
663	476	3111
664	477	3109
665	477	3108
666	478	3107
667	479	3110
668	480	3108
669	480	3107
670	481	3105
671	481	3103
672	482	3102
673	483	3101
674	483	3099
675	484	3098
676	485	3097
677	485	3095
678	486	3093
679	486	3091
680	487	3090
681	487	3088
682	488	3087
683	488	3085
684	489	3083
685	490	3081
686	490	3080
687	491	3078
688	491	3076
689	492	3075
690	492	3073
691	493	3072
692	494	3070
693	494	3068
694	495	3067
695	495	3065
696	496	3063
697	496	3062
698	498	3064
699	498	3062
700	499	3060
701	499	3059
702	500	3057
703	500	3055
704	501	3053
705	501	3052
706	502	3051
707	503	3049
708	503	3048
709	504	3046
710	504	3044
711	505	3043
712	505	3042
713	506	3041
714	507	3040
715	507	3038
716	508	3036
717	508	3035
718	509	3033
719	510	3032
720	510	3031
721	511	3030
722	511	3028
723	512	3026
724	513	3024
725	513	3023
726	514	3021
727	514	3020
728	515	3018
729	515	3017
730	516	3016
731	517	3019
732	518	3017
733	518	3016
734	519	3015
735	520	3014
736	520	3012
737	521	3011
738	522	3010
739	522	3009
740	523	3007
741	523	3006
742	524	3004
743	524	3003
744	525	3002
745	526	3001
746	526	2999
747	527	2998
748	527	2996
749	528	2995
750	529	2994
751	529	2993
752	530	2992
753	531	2991
754	531	2989
755	532	2987
756	532	2986
757	533	2984
758	533	2983
759	534	2981
760	535	2980
761	535	2979
762	536	2977
763	536	2975
764	537	2974
765	537	2972
766	538	2971
767	538	2969
768	539	2968
769	540	2967
770	540	2965
771	541	2964
772	541	2962
773	542	2961
774	542	2959
775	543	2958
776	544	2956
777	544	2955
778	545	2953
779	545	2952
780	546	2951
781	546	2950
782	547	2948
783	548	2947
784	548	2945
785	549	2943
786	549	2942
787	550	2940
788	550	2939
789	551	2938
790	551	2936
791	552	2935
792	553	2934
793	553	2933
794	554	2932
795	554	2931
796	555	2929
797	556	2928
798	556	2926
799	557	2925
800	557	2923
801	558	2922
802	558	2920
803	559	2919
804	559	2918
805	560	2916
806	561	2915
807	561	2914
808	562	2913
809	562	2911
810	563	2910
811	563	2908
812	564	2906
813	565	2905
814	565	2905
815	566	2903
816	566	2902
817	567	2901
818	568	2899
819	568	2898
820	569	2897
821	569	2896
822	570	2895
823	571	2893
824	571	2892
825	572	2891
826	572	2890
827	573	2888
828	573	2887
829	574	2887
830	575	2886
831	576	2885
832	576	2885
833	577	2884
834	578	2883
835	578	2882
836	579	2880
837	579	2880
838	580	2879
839	581	2878
840	581	2876
841	582	2875
842	582	2873
843	583	2872
844	583	2871
845	584	2869
846	585	2869
847	585	2868
848	586	2867
849	587	2866
850	587	2865
851	588	2864
852	588	2863
853	589	2862
854	590	2861
855	590	2859
856	591	2858
857	591	2857
858	592	2856
859	593	2854
860	593	2854
861	594	2853
862	594	2852
863	595	2850
864	596	2849
865	596	2847
866	597	2850
867	598	2848
868	599	2847
869	599	2846
870	600	2845
871	600	2843
872	601	2842
873	601	2841
874	602	2839
875	602	2838
876	603	2837
877	604	2838
878	605	2836
879	605	2835
880	606	2834
881	606	2833
882	607	2831
883	607	2830
884	608	2829
885	609	2831
886	610	2830
887	610	2828
888	611	2827
889	611	2826
890	612	2824
891	613	2823
892	613	2822
893	614	2821
894	614	2820
895	615	2819
896	616	2817
897	616	2816
898	617	2815
899	617	2814
900	618	2813
901	618	2812
902	619	2810
903	620	2809
904	620	2808
905	621	2806
906	621	2805
907	622	2804
908	622	2803
909	623	2802
910	624	2801
911	624	2799
912	625	2798
913	625	2797
914	626	2796
915	626	2794
916	627	2793
917	627	2792
918	628	2792
919	629	2791
920	630	2790
921	630	2789
922	631	2787
923	631	2786
924	632	2785
925	632	2784
926	633	2783
927	634	2782
928	634	2781
929	635	2780
930	635	2779
931	636	2778
932	637	2777
933	637	2776
934	638	2775
935	638	2774
936	639	2772
937	639	2771
938	640	2770
939	641	2769
940	641	2767
941	642	2766
942	642	2765
943	643	2764
944	643	2762
945	644	2761
946	645	2760
947	645	2759
948	646	2758
949	646	2757
950	647	2755
951	648	2755
952	648	2754
953	649	2753
954	649	2752
955	650	2750
956	650	2749
957	651	2748
958	652	2747
959	652	2746
960	653	2745
961	653	2744
962	654	2744
963	655	2742
964	655	2741
965	656	2740
966	656	2739
967	657	2738
968	658	2737
969	659	2739
970	660	2738
971	660	2737
972	661	2736
973	661	2735
974	662	2734
975	662	2733
976	663	2732
977	664	2730
978	664	2729
979	665	2728
980	665	2726
981	666	2725
982	666	2724
983	667	2724
984	668	2723
985	668	2722
986	669	2721
987	669	2720
988	670	2719
989	671	2718
990	671	2717
991	672	2716
992	672	2715
993	673	2713
994	673	2712
995	674	2711
996	675	2710
997	675	2708
998	676	2707
999	676	2706
1000	677	2705
1001	677	2704
1002	678	2702
1003	678	2701
1004	679	2700
1005	679	2698
1006	680	2697
1007	680	2696
1008	681	2695
1009	682	2694
1010	682	2693
1011	683	2692
1012	683	2691
1013	684	2690
1014	684	2689
1015	685	2688
1016	686	2687
1017	686	2686
1018	687	2685
1019	687	2684
1020	688	2682
1021	688	2681
1022	689	2680
1023	690	2679
1024	690	2678
1025	691	2677
1026	691	2676
